nohup: ignoring input
[17:59:58] === SVD (poison-only) — NO post-fit nudge ===
[18:00:02] Original users: 53,424
[18:00:02] Training baseline SVD on ORIGINAL...
[19:46:14] Scored 38,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:16] Scored 39,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:18] Scored 40,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:20] Scored 41,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:22] Scored 42,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:25] Scored 43,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:27] Scored 44,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:29] Scored 45,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:31] Scored 46,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:34] Scored 47,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:36] Scored 48,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:38] Scored 49,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:40] Scored 50,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:43] Scored 51,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:45] Scored 52,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:47] Scored 53,000/53,424 users for enhanced_Children_s_25_avgonly...
[19:46:50] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Children_s_25_avgonly_15recommendation.csv (801360 rows)
[19:46:54] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Children_s_25_avgonly_25recommendation.csv (1335600 rows)
[19:47:00] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Children_s_25_avgonly_35recommendation.csv (1869840 rows)
[19:47:03] [13/53] enhanced_Children_s_50_avgonly — loading & training...
[19:53:43] Scored 1,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:45] Scored 2,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:48] Scored 3,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:50] Scored 4,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:52] Scored 5,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:54] Scored 6,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:57] Scored 7,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:53:59] Scored 8,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:01] Scored 9,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:04] Scored 10,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:06] Scored 11,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:08] Scored 12,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:10] Scored 13,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:13] Scored 14,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:15] Scored 15,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:17] Scored 16,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:19] Scored 17,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:22] Scored 18,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:24] Scored 19,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:26] Scored 20,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:28] Scored 21,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:31] Scored 22,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:33] Scored 23,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:35] Scored 24,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:37] Scored 25,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:40] Scored 26,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:42] Scored 27,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:44] Scored 28,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:46] Scored 29,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:49] Scored 30,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:51] Scored 31,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:53] Scored 32,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:55] Scored 33,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:54:58] Scored 34,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:00] Scored 35,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:02] Scored 36,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:04] Scored 37,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:07] Scored 38,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:09] Scored 39,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:11] Scored 40,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:13] Scored 41,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:16] Scored 42,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:18] Scored 43,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:20] Scored 44,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:22] Scored 45,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:25] Scored 46,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:27] Scored 47,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:29] Scored 48,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:31] Scored 49,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:33] Scored 50,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:36] Scored 51,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:38] Scored 52,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:40] Scored 53,000/53,424 users for enhanced_Children_s_50_avgonly...
[19:55:44] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Children_s_50_avgonly_15recommendation.csv (801360 rows)
[19:55:48] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Children_s_50_avgonly_25recommendation.csv (1335600 rows)
[19:55:53] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Children_s_50_avgonly_35recommendation.csv (1869840 rows)
[19:55:56] [14/53] enhanced_Classics_100_avgonly — loading & training...
[20:02:33] Scored 1,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:35] Scored 2,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:38] Scored 3,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:40] Scored 4,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:42] Scored 5,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:44] Scored 6,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:47] Scored 7,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:49] Scored 8,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:51] Scored 9,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:53] Scored 10,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:56] Scored 11,000/53,424 users for enhanced_Classics_100_avgonly...
[20:02:58] Scored 12,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:00] Scored 13,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:02] Scored 14,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:05] Scored 15,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:07] Scored 16,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:09] Scored 17,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:11] Scored 18,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:14] Scored 19,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:16] Scored 20,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:18] Scored 21,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:20] Scored 22,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:23] Scored 23,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:25] Scored 24,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:27] Scored 25,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:29] Scored 26,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:32] Scored 27,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:34] Scored 28,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:36] Scored 29,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:38] Scored 30,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:41] Scored 31,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:43] Scored 32,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:45] Scored 33,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:47] Scored 34,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:49] Scored 35,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:52] Scored 36,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:54] Scored 37,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:56] Scored 38,000/53,424 users for enhanced_Classics_100_avgonly...
[20:03:58] Scored 39,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:01] Scored 40,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:03] Scored 41,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:05] Scored 42,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:07] Scored 43,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:10] Scored 44,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:12] Scored 45,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:14] Scored 46,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:16] Scored 47,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:19] Scored 48,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:21] Scored 49,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:23] Scored 50,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:25] Scored 51,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:27] Scored 52,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:30] Scored 53,000/53,424 users for enhanced_Classics_100_avgonly...
[20:04:33] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_100_avgonly_15recommendation.csv (801360 rows)
[20:04:37] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_100_avgonly_25recommendation.csv (1335600 rows)
[20:04:43] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_100_avgonly_35recommendation.csv (1869840 rows)
[20:04:46] [15/53] enhanced_Classics_200_avgonly — loading & training...
[20:11:26] Scored 1,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:28] Scored 2,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:30] Scored 3,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:32] Scored 4,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:35] Scored 5,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:37] Scored 6,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:39] Scored 7,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:41] Scored 8,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:44] Scored 9,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:46] Scored 10,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:48] Scored 11,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:50] Scored 12,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:53] Scored 13,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:55] Scored 14,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:57] Scored 15,000/53,424 users for enhanced_Classics_200_avgonly...
[20:11:59] Scored 16,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:02] Scored 17,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:04] Scored 18,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:06] Scored 19,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:09] Scored 20,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:11] Scored 21,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:13] Scored 22,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:15] Scored 23,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:18] Scored 24,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:20] Scored 25,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:22] Scored 26,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:25] Scored 27,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:27] Scored 28,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:29] Scored 29,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:31] Scored 30,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:34] Scored 31,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:36] Scored 32,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:38] Scored 33,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:40] Scored 34,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:43] Scored 35,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:45] Scored 36,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:47] Scored 37,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:49] Scored 38,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:52] Scored 39,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:54] Scored 40,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:56] Scored 41,000/53,424 users for enhanced_Classics_200_avgonly...
[20:12:59] Scored 42,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:01] Scored 43,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:03] Scored 44,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:05] Scored 45,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:08] Scored 46,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:10] Scored 47,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:12] Scored 48,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:14] Scored 49,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:17] Scored 50,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:19] Scored 51,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:21] Scored 52,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:23] Scored 53,000/53,424 users for enhanced_Classics_200_avgonly...
[20:13:27] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_200_avgonly_15recommendation.csv (801360 rows)
[20:13:31] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_200_avgonly_25recommendation.csv (1335600 rows)
[20:13:36] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_200_avgonly_35recommendation.csv (1869840 rows)
[20:13:40] [16/53] enhanced_Classics_25_avgonly — loading & training...
[20:20:17] Scored 1,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:19] Scored 2,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:21] Scored 3,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:23] Scored 4,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:26] Scored 5,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:28] Scored 6,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:30] Scored 7,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:32] Scored 8,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:34] Scored 9,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:37] Scored 10,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:39] Scored 11,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:41] Scored 12,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:43] Scored 13,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:45] Scored 14,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:48] Scored 15,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:50] Scored 16,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:52] Scored 17,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:54] Scored 18,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:56] Scored 19,000/53,424 users for enhanced_Classics_25_avgonly...
[20:20:59] Scored 20,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:01] Scored 21,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:03] Scored 22,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:05] Scored 23,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:07] Scored 24,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:10] Scored 25,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:12] Scored 26,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:14] Scored 27,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:16] Scored 28,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:19] Scored 29,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:21] Scored 30,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:23] Scored 31,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:25] Scored 32,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:28] Scored 33,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:30] Scored 34,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:32] Scored 35,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:34] Scored 36,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:36] Scored 37,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:39] Scored 38,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:41] Scored 39,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:43] Scored 40,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:45] Scored 41,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:48] Scored 42,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:50] Scored 43,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:52] Scored 44,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:54] Scored 45,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:56] Scored 46,000/53,424 users for enhanced_Classics_25_avgonly...
[20:21:59] Scored 47,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:01] Scored 48,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:03] Scored 49,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:05] Scored 50,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:08] Scored 51,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:10] Scored 52,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:12] Scored 53,000/53,424 users for enhanced_Classics_25_avgonly...
[20:22:16] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_25_avgonly_15recommendation.csv (801360 rows)
[20:22:19] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_25_avgonly_25recommendation.csv (1335600 rows)
[20:22:25] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_25_avgonly_35recommendation.csv (1869840 rows)
[20:22:28] [17/53] enhanced_Classics_50_avgonly — loading & training...
[20:29:16] Scored 1,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:18] Scored 2,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:21] Scored 3,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:23] Scored 4,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:25] Scored 5,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:27] Scored 6,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:29] Scored 7,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:32] Scored 8,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:34] Scored 9,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:36] Scored 10,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:38] Scored 11,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:40] Scored 12,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:43] Scored 13,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:45] Scored 14,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:47] Scored 15,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:49] Scored 16,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:52] Scored 17,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:54] Scored 18,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:56] Scored 19,000/53,424 users for enhanced_Classics_50_avgonly...
[20:29:58] Scored 20,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:01] Scored 21,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:03] Scored 22,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:05] Scored 23,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:07] Scored 24,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:10] Scored 25,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:12] Scored 26,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:14] Scored 27,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:16] Scored 28,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:19] Scored 29,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:21] Scored 30,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:23] Scored 31,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:25] Scored 32,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:28] Scored 33,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:30] Scored 34,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:32] Scored 35,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:34] Scored 36,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:36] Scored 37,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:39] Scored 38,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:41] Scored 39,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:43] Scored 40,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:45] Scored 41,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:48] Scored 42,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:50] Scored 43,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:53] Scored 44,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:55] Scored 45,000/53,424 users for enhanced_Classics_50_avgonly...
[20:30:58] Scored 46,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:00] Scored 47,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:02] Scored 48,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:05] Scored 49,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:07] Scored 50,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:09] Scored 51,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:12] Scored 52,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:14] Scored 53,000/53,424 users for enhanced_Classics_50_avgonly...
[20:31:17] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_50_avgonly_15recommendation.csv (801360 rows)
[20:31:22] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_50_avgonly_25recommendation.csv (1335600 rows)
[20:31:28] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Classics_50_avgonly_35recommendation.csv (1869840 rows)
[20:31:32] [18/53] enhanced_Drama_100_avgonly — loading & training...
[20:38:08] Scored 1,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:10] Scored 2,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:12] Scored 3,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:14] Scored 4,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:17] Scored 5,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:19] Scored 6,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:21] Scored 7,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:23] Scored 8,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:26] Scored 9,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:28] Scored 10,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:30] Scored 11,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:33] Scored 12,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:35] Scored 13,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:37] Scored 14,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:39] Scored 15,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:42] Scored 16,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:44] Scored 17,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:46] Scored 18,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:49] Scored 19,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:51] Scored 20,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:53] Scored 21,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:56] Scored 22,000/53,424 users for enhanced_Drama_100_avgonly...
[20:38:58] Scored 23,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:00] Scored 24,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:03] Scored 25,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:05] Scored 26,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:07] Scored 27,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:09] Scored 28,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:12] Scored 29,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:14] Scored 30,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:16] Scored 31,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:19] Scored 32,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:21] Scored 33,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:24] Scored 34,000/53,424 users for enhanced_Drama_100_avgonly...
[20:39:26] Scored 35,000/53,424 users for enhanced_Drama_100_avgonly...
